0000,Bench Press,Chest
0001,Barbell Military Press,Shoulders
0002,Standing Dumbbell Curl,Biceps
0003,Rear Cable Fly,Shoulders
0004,Upper Cable Fly,Chest
0005,Squat,Legs
0006,Hanging Leg Raise,Abs
0007,Lat Pull Down,Shoulders
0008,Barbell Bent Over Row,Back
0009,Dumbbell Row,Back
0010,Inverted Row,Back
0011,Cable Side Bend,Abs
0012,Seated Cable Row,Back
0013,Single Arm Cable Row,Back
0014,V-Sit Up,Abs
0015,Medball Sit Up,Abs
0016,Squat Thrusters,Legs
0017,Kettle Ball Swing,Cardio
0018,Leg Curl,Legs
0019,Pushup,Chest
0020,Med Ball Slam,Cardio
0021,Dumbbell Single Leg Step Up,Leg
0022,Divers,Shoulders
0023,Dumbbell Split Squat,Legs
0024,Front Band Pull Apart,Shoulders
0025,Ab Roller,Abs
0026,Decline Sit Up,Abs
0027,Incline Bench Press ,Chest
0028,Standing Shoulder Fly,Chest
0029,Dumbbell Fly,Chest
0030,Arnold Press,Shoulders
0031,Dumbbell Shrugs,Traps
0032,Romanian Dead Lift ,Legs
0033,Barbell Shrug,Traps
0034,Sumo Dead Lift,Legs
0035,Overhead Plate Lung,Legs
0036,IYT,Back
0037,Med Ball Russian Twist,Abs
0038,Banded Kettle Ball Swing,Cardio
0039,Hack Squat,Legs
0040,Leg Extension,Legs
0041,Single Leg Romanian Dead Lift (SLRDL),Legs
0042,Leg Press Calve Raises ,Legs
0043,Overhead Barbell Crusher,Triceps
0044,Single Arm Tricep Extension,Triceps
0045,V-Handle Extension,Triceps
0046,Single Arm Dumbbell Overhead,Triceps
0047,Dumbbell Overhead,Triceps
0048,Dumbbell Pull Over,Chest
0049,Dumbbell Kickback,Triceps
0050,Bench Dips,Triceps
0051,Dumbbell Skull Crushers,Triceps
0052,Rope Extension,Triceps
0053,Single Handle Tricep Extension,Triceps
0054,Diamond Pushup,Triceps
0055,Muscle Up,Biceps
0056,Incline Cable Rope Overhead,Triceps
0057,Single Arm Dumbbell Press,Chest
0058,Lower Cable Fly,Chest
0059,Upper Cable Fly,Chest
0060,Plyo Pushups,Chest
0061,Decline Pushups,Chest
0062,Shoulder Press,Shoulders
0063,Dumbbell Press,Chest
0064,Incline Dumbbell Press,Chest
0065,Incline Dumbbell Fly,Chest
0066,Decline Dumbbell Press,Chest
0067,Decline Bench Press,Chest
0068,Banded Fly,Chest
0069,Renegade Row,Biceps
0070,Pull Up,Biceps
0071,Kettle Ball Row,Back
0072,Rope T Bar,Back
0073,Wide Seated Cable Row,Back
0074,Back Bull Pull Up,Biceps
0075,Decline Dumbbell Pull Over,Chest
