id,name,sets,reps,description,link,body_part
ch-1,Bench Press,4,4,Steps: Lie on the flat bench with your eyes under the bar. Lift your chest and squeeze your shoulder-blades. Feet flat on the floor. Grab the bar. Put your pinky on the ring marks of your bar. Hold the bar in the base of your palm with a full grip and straight wrists. Unrack. Take a big breath and unrack the bar by straightening your arms. Move the bar over your shoulders with your elbows locked. Lower the bar. Lower it to your mid-chest while tucking your elbows 75°. Keep your forearms vertical. Hold your breath at the bottom. Press. Press the bar from your mid-chest to above your shoulders. Keep your butt on the bench. Lock your elbows at the top. Breathe.,gRVjAtPip0Y,chest
bi-1,Bicep Curls,4,8,"Stand up straight with a dumbbell in each hand at arm's length. Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. This will be your starting position.
Now, keeping the upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps.
Then, inhale and slowly begin to lower the dumbbells back to the starting position.
Repeat for the recommended amount of repetitions.",ykJmrZ5v0Oo,biceps
ch-2,Cable Crossover,6,8,"To get yourself into the starting position, place the pulleys on a high position (above your head), select the resistance to be used and hold the pulleys in each hand.
Step forward in front of an imaginary straight line between both pulleys while pulling your arms together in front of you. Your torso should have a small forward bend from the waist. This will be your starting position.
With a slight bend on your elbows in order to prevent stress at the biceps tendon, extend your arms to the side (straight out at both sides) in a wide arc until you feel a stretch on your chest. Breathe in as you perform this portion of the movement. Tip: Keep in mind that throughout the movement, the arms and torso should remain stationary; the movement should only occur at the shoulder joint.
Return your arms back to the starting position as you breathe out. Make sure to use the same arc of motion used to lower the weights.
Hold for a second at the starting position and repeat the movement for the prescribed amount of repetitions.
",taI4XduLpTk,chest
ch-3,Pushups,5,15,Doing a push up,Eh00_rniF8E,chest
bi-2,Curls,5,10,Pick up dumbell and cur,<ykJmrZ5v0Oo,biceps
tri-1,Rope Push Downs Drop Set,3,3,Drop sets to failure on each set,NpEaa2P7qZI,triceps
a-1,Hanging Leg Raise,3,15,Place both hands and forearms on the arm rests. Lift your legs in front of you and focus on tightening your abs.,arWjJtMsqvA,abs
a-2,V-Sit Ups,4,15,Lay flat on a mat. Place your arms about your hand lying on the ground. Proceed to lift your feet off the ground into the air while lifting your upper body to create a V shape.,AJD6aPu5kw4,abs
a-3,Cable Side Oblique Crunch,3,20,Make sure to do each side,NpEaa2P7qZI,abs
a-4,Med Ball Sit Ups,3,25,Lay flat on a mat. Pull your feet towards your hips while keeping knees pointed up. Hold medicine ball with both hands over your chest. Proceed to perform a situp.,Zb-kh42M-60,abs
ba-1,Pull Downs,4,10,Sit at 120˚ degree angle and lift your arms to grab onto the bar. Place hands shoulder width and pull the bar towards your chest.,1VcmFW5diOU,back
bi-3,Bent Over Rows,4,8,Stand with your legs at the same width as your shoulders. Create a 135˚ angle with your knees. Lean forward so that your shoulders are in front of your knees. Make sure to keep your back dips in and creates a curved shape. Grab the bar with both hands and lift towards your mid-abdominal section. Maintain correct posture by keeps your elbows close to your torso.,"LktGPg-AkvY
",biceps
bi-4,Dumbell Rows,3,12,Stand with your legs at the same width as your shoulders. Create a 135˚ angle with your knees. Lean forward so that your shoulders are in front of your knees. Make sure to keep your back dips in and creates a curved shape. Pick up each dumbell and lift them to your mid-abdominal area while keeping your elbows close to your torso,"-koP10y1qZI
",biceps
ba-2,Inverted Rows,3,10,Position a bar in a rack to about waist height. You can also use a smith machine.,5LZa9TzkjRg,back
bi-5,Low Cable Single Arm Row,3,12,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,raO8Q08Wems,biceps
ba-3,Cable seated row,4,8,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,GZbfZ033f74,back
sh-1,Dumbbell Squat Press,3,12,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,Mf15rTLysxc,shoulders
unk-1,Kettle Ball Swings,4,5,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,bMQHAmCXJAI,
leg-1,Dead Lifts,4,10,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,-4qRntuXBSc,legs
leg-2,Hamstring Curls,3,10,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,F488k67BTNo,legs
ch-4,Push Ups,3,20,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,eFOSh8vpd6I,chest
car-1,Med Ball Slams,3,20,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,cWghPf9dso0,cardio
leg-3,Weighted Step Ups,3,12,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,-s803CkJATI,legs
a-5,Divers,4,12,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,,abs
leg-4,Split Squats,3,12,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,r1jukGZPnZI,legs
unk-2,Band Pull Aparts,3,12,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,fo3ogdhMFLo,
car-2,Sledge Hammers,3,15,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,NpEaa2P7qZI,cardio
